,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
171,[],,,,,,,,,,,,,,,,,,,,
172,['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap'],,,,,,,,,,,,,,
173,['emo rap'],,,,,,,,,,,,,,,,,,,,
174,['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge'],,,,,,,,,,,,,,,
175,['uplifting trance'],,,,,,,,,,,,,,,,,,,,
176,['grunge', 'riot grrrl'],,,,,,,,,,,,,,,,,,,
177,['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary'],,,,,,,,,,,,,,,
178,[],,,,,,,,,,,,,,,,,,,,
179,[],,,,,,,,,,,,,,,,,,,,
180,[],,,,,,,,,,,,,,,,,,,,
181,[],,,,,,,,,,,,,,,,,,,,
182,[],,,,,,,,,,,,,,,,,,,,
183,['8-bit', 'scorecore'],,,,,,,,,,,,,,,,,,,
184,['acid house', 'big beat', 'chicago house', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno'],,,,,,,,,,,,
185,['alternative hip hop'],,,,,,,,,,,,,,,,,,,,
186,['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,
187,['asian american hip hop', 'pop'],,,,,,,,,,,,,,,,,,,
188,['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap'],,,,,,,,,,,,,,
189,['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap'],,,,,,,,,,,,,,,
190,[],,,,,,,,,,,,,,,,,,,,
191,['futurepop'],,,,,,,,,,,,,,,,,,,,
192,['lo-fi beats'],,,,,,,,,,,,,,,,,,,,
193,['minneapolis sound'],,,,,,,,,,,,,,,,,,,,
194,['boy band', 'dance pop'],,,,,,,,,,,,,,,,,,,
195,['boy band', 'dance pop'],,,,,,,,,,,,,,,,,,,
196,['house', 'uk house'],,,,,,,,,,,,,,,,,,,
197,['oi', 'pub rock', 'punk'],,,,,,,,,,,,,,,,,,
198,['bboy'],,,,,,,,,,,,,,,,,,,,
199,['florida rap'],,,,,,,,,,,,,,,,,,,,
200,[],,,,,,,,,,,,,,,,,,,,
201,['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop'],,,,,,,,,,,,,,,,,
202,['chicano punk', 'classic garage rock', 'detroit rock', 'freakbeat', 'protopunk', 'psychedelic rock'],,,,,,,,,,,,,,,
203,['philly rap'],,,,,,,,,,,,,,,,,,,,
204,['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical'],,,,,,,,,,,,,,,
205,['melodic rap', 'pop rap', 'rap', 'trap'],,,,,,,,,,,,,,,,,
206,['deep progressive trance'],,,,,,,,,,,,,,,,,,,,
207,['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano'],,,,,,,,,,,,,,,,,
208,[],,,,,,,,,,,,,,,,,,,,
209,['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'industrial', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'synthpop', 'uk post-punk'],,,,,,,,,
210,['metalcore', 'pop punk', 'screamo'],,,,,,,,,,,,,,,,,,
211,['new jack swing'],,,,,,,,,,,,,,,,,,,,
212,['acoustic pop', 'lilith', 'neo mellow', 'pop rock'],,,,,,,,,,,,,,,,,
